MSU	Symbol	Keyword
LOC_Os01g37100	OsRKD3	ethylene response; signal transduction; somatic embryogenesis; stress; stress response; transcription factor
LOC_Os01g37460	OsRZF1	R protein; homeostasis; magnesium; magnesium uptake
LOC_Os01g37510	OsPDF1A	chloroplast; mitochondria; root
LOC_Os01g37690	OsCAX1a	flower; homeostasis; panicle; root; stomata; vascular bundle
LOC_Os01g37870	WSL	ABA; abiotic stress; chloroplast; salinity; sugar
LOC_Os01g37910	OsVPE2	Pi; cell death; pi; stress
LOC_Os01g38530	OsEF3|OsELF3-2|OsELF3.2	blast resistance; cell division; cell elongation; grain; grain weight; heading date; immunity; resistance; root; root development
LOC_Os01g38670	OsMST8	anther; chilling; microspore; starch; transporter
LOC_Os01g39020	OsHsfA7	drought; drought tolerance; leaf; salt; seedling
LOC_Os01g39330	OsbHLH024	resistance; salt; salt stress; stress; transcription factor
LOC_Os01g39480	Rb1	grain; grain filling; leaf; map-based cloning; sheath
LOC_Os01g39580	PSH1|Rb2	leaf; map-based cloning; sheath
LOC_Os01g39630	RAD51C	anther; fertility; meiosis; meiotic; mitosis; pollen; reproductive; sterility; vegetative
LOC_Os01g39670	SaF	SA; development; fertility; male sterility; pollen; pollen development; sa; sterility
LOC_Os01g39680	SaM	SA; development; fertility; male sterility; pollen; pollen development; sterility
LOC_Os01g39860	OsACO7	blast
LOC_Os01g40094	OsABI2|OsABIL1|OsPP2C06	transcription factor
LOC_Os01g40400	OsHDA701	defense; immunity; nucleus; resistance
LOC_Os01g40630	LOG	cytokinin; meristem; shoot
LOC_Os01g40670	OsTRBF1	telomere repeat-binding factor
LOC_Os01g41010	OsFLZ2	R protein; floral; flowering; flowering time; heading date; nucleus
LOC_Os01g41420	OsATL15	amino acid transporter; brown planthopper; leaf; pest; root; stem; thiamethoxam; vascular bundle
LOC_Os01g41510	OsCBL5	cell expansion; grain; grain size; spikelet
LOC_Os01g41800	CYP72A31	breeding
LOC_Os01g42210	OsLTP47	development; male sterility; plasma membrane; pollen; pollen wall; sterility
LOC_Os01g42260	OsLUGL	auxin; development; floral; transcriptional regulator
LOC_Os01g42380	OsABCG36|Ospdr9	ABC transporter; abiotic stress; auxin; cytokinin; ethylene; growth; jasmonic; jasmonic acid; plasma membrane; root; salt; salt stress; seedling; tolerance; transporter
LOC_Os01g42460	TN1	tiller; tiller number; tillering
LOC_Os01g42520	DFOT1|EMF1	flower; flowering
LOC_Os01g42630	DNMT2	seed
LOC_Os01g42650	COX5b|coxVb	mitochondria
